manual_qc_rank,roi_id,manual_qc_action_tier,event_relative_bin,source_stem,frame_strip_png,mask_overlay_png,kymograph_png,review_question
11,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,review_kinetic_only_guardrail,near_pre_event_1_8,7_c2_x10_290623,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank012_source_balanced_cycle56_rank51_obj2_7_c2_x10_290623_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank012_source_balanced_cycle56_rank51_obj2_7_c2_x10_290623_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank012_source_balanced_cycle56_rank51_obj2_7_c2_x10_290623_kymograph.png,Is the kinetic signal particle-local and non-artifactual despite weak front evidence?
12,source_balanced_cycle2_rank31_obj2_2_c2_x14_200623,review_front_only_guardrail,no_near_event_control,2_c2_x14_200623,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank023_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank023_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank023_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_kymograph.png,"Is the front-like morphology real, or driven by mask/crop/illumination artifacts without kinetic support?"
13,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,review_kinetic_only_guardrail,near_pre_event_1_8,9_c2_x10_010723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank018_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank018_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank018_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_kymograph.png,Is the kinetic signal particle-local and non-artifactual despite weak front evidence?
14,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,review_front_only_guardrail,near_pre_event_1_8,17_c2_x10_HighHighCOV_150723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank007_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank007_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank007_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,"Is the front-like morphology real, or driven by mask/crop/illumination artifacts without kinetic support?"
15,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,routine_or_low_concordance,near_pre_event_1_8,9_c2_x10_010723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.
17,source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,routine_or_low_concordance,near_pre_event_1_8,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank011_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank011_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank011_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.
18,source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2,routine_or_low_concordance,near_pre_event_1_8,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank015_source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank015_source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank015_source_balanced_cycle52_rank49_obj1_6_c2_x10_270623_2_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.
20,source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2,routine_or_low_concordance,near_pre_event_1_8,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank019_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank019_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank019_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.
24,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,routine_or_low_concordance,near_pre_event_1_8,12_c2_x10_070723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank013_source_balanced_cycle110_rank12_obj1_12_c2_x10_070723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank013_source_balanced_cycle110_rank12_obj1_12_c2_x10_070723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank013_source_balanced_cycle110_rank12_obj1_12_c2_x10_070723_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.
25,source_balanced_cycle58_rank52_obj2_7_c2_x10_290623,routine_or_low_concordance,near_pre_event_1_8,7_c2_x10_290623,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank017_source_balanced_cycle58_rank52_obj2_7_c2_x10_290623_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank017_source_balanced_cycle58_rank52_obj2_7_c2_x10_290623_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank017_source_balanced_cycle58_rank52_obj2_7_c2_x10_290623_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.
28,source_balanced_cycle126_rank16_obj1_14_c2_x10_HighCOV_110723,review_front_only_guardrail,post_event_1_16,14_c2_x10_HighCOV_110723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank016_source_balanced_cycle126_rank16_obj1_14_c2_x10_HighCOV_110723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank016_source_balanced_cycle126_rank16_obj1_14_c2_x10_HighCOV_110723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank016_source_balanced_cycle126_rank16_obj1_14_c2_x10_HighCOV_110723_kymograph.png,"Is the front-like morphology real, or driven by mask/crop/illumination artifacts without kinetic support?"
32,source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,routine_or_low_concordance,near_pre_event_1_8,9_c2_x10_010723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank024_source_balanced_cycle84_rank64_obj1_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank024_source_balanced_cycle84_rank64_obj1_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank024_source_balanced_cycle84_rank64_obj1_9_c2_x10_010723_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.
34,source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723,review_front_only_guardrail,far_pre_event_17_32,15_c2_x5_HighCOV_120723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank021_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank021_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank021_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_kymograph.png,"Is the front-like morphology real, or driven by mask/crop/illumination artifacts without kinetic support?"
35,source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723,routine_or_low_concordance,post_event_1_16,14_c2_x10_HighCOV_110723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank020_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank020_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank020_source_balanced_cycle124_rank15_obj2_14_c2_x10_HighCOV_110723_kymograph.png,No immediate manual decision required unless needed as a low-priority comparator.
