roi_id,cycleNo,source_stem,local_cycle_index,front_candidate_rank,object_candidate_rank,validation_score,validation_label,object_x_full_approx,object_y_full_approx,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,cohort_role,selection_subrole,event_reference_cycle,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,transferred_masked_residual_signature,npz_path,preview_png
cycle78_rank22_obj2,78.0,9_c2_x10_010723,3,22,2,24.497738086062476,balanced_future_roi_candidate,1188.0625,1042.8125,1092,947,1284,1139,192,96,96,2728,3637,8288.068359375,8307.3076171875,19.2392578125,0.08240436017513275,0.08359440416097641,0.0011900439858436584,0.25,future8_positive,high_warning_positive,78.0,1.0,1.0,0.0,0.2683863942126585,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle78_rank22_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle78_rank22_obj2.png
cycle78_rank22_obj3,78.0,9_c2_x10_010723,3,22,3,24.263112458779265,balanced_future_roi_candidate,1657.247311827957,138.5806451612903,1561,43,1753,235,192,96,96,2728,3637,8068.361328125,8074.6630859375,6.3017578125,0.0765378400683403,0.07683178782463074,0.0002939477562904358,0.25,future8_positive,high_warning_positive,78.0,1.0,1.0,0.0,0.2683863942126585,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle78_rank22_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle78_rank22_obj3.png
cycle84_rank23_obj3,84.0,9_c2_x10_010723,9,23,3,24.81387714907142,balanced_future_roi_candidate,573.0,162.45454545454547,477,66,669,258,192,96,96,8186,9095,8501.533203125,8495.19140625,-6.341796875,0.09293493628501892,0.09250930696725845,-0.00042562931776046753,0.29154759474225334,future8_positive,high_warning_positive,84.0,1.0,1.0,0.0,0.257364534667413,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle84_rank23_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle84_rank23_obj3.png
cycle84_rank23_obj2,84.0,9_c2_x10_010723,9,23,2,24.753681477229097,balanced_future_roi_candidate,1185.1333333333334,1028.9333333333334,1089,933,1281,1125,192,96,96,8186,9095,8297.2705078125,8295.58203125,-1.6884765625,0.07784256339073181,0.07774460315704346,-9.796023368835449e-05,0.29154759474225334,future8_positive,high_warning_positive,84.0,1.0,1.0,0.0,0.257364534667413,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle84_rank23_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle84_rank23_obj2.png
cycle84_rank23_obj1,84.0,9_c2_x10_010723,9,23,1,24.70841394342318,balanced_future_roi_candidate,1332.9481481481482,105.48148148148148,1237,9,1429,201,192,96,96,8186,9095,8674.58984375,8667.861328125,-6.728515625,0.07372359186410904,0.07342253625392914,-0.0003010556101799011,0.29154759474225334,future8_positive,high_warning_positive,84.0,1.0,1.0,0.0,0.257364534667413,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle84_rank23_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle84_rank23_obj1.png
cycle104_rank6_obj3,104.0,11_c2_x10_050723,9,6,3,26.27643821059555,balanced_future_roi_candidate,1194.5333333333333,678.5333333333333,1099,583,1291,775,192,96,96,8118,9019,8007.33154296875,7996.7978515625,-10.53369140625,0.0719345435500145,0.07132396847009659,-0.0006105750799179077,0.2500000000000227,future8_negative,hard_negative_high_warning,104.0,0.0,1.0,0.0,0.3719069574735253,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle104_rank6_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle104_rank6_obj3.png
cycle104_rank6_obj2,104.0,11_c2_x10_050723,9,6,2,26.016309967505705,balanced_future_roi_candidate,834.0909090909091,94.0909090909091,738,0,930,192,192,96,96,8118,9019,8966.6513671875,8957.9599609375,-8.69140625,0.08209259063005447,0.08165984600782394,-0.0004327446222305298,0.2500000000000227,future8_negative,hard_negative_high_warning,104.0,0.0,1.0,0.0,0.3719069574735253,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle104_rank6_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle104_rank6_obj2.png
cycle104_rank6_obj1,104.0,11_c2_x10_050723,9,6,1,25.17135094255524,balanced_future_roi_candidate,1343.0384615384614,203.2692307692308,1247,107,1439,299,192,96,96,8118,9019,8889.4609375,8879.1181640625,-10.3427734375,0.07195983827114105,0.07151427865028381,-0.00044555962085723877,0.2500000000000227,future8_negative,hard_negative_high_warning,104.0,0.0,1.0,0.0,0.3719069574735253,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle104_rank6_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle104_rank6_obj1.png
cycle108_rank21_obj3,108.0,12_c2_x10_070723,3,21,3,24.6156452256459,balanced_future_roi_candidate,839.0,97.76923076923076,743,2,935,194,192,96,96,2712,3615,8954.7265625,8953.30078125,-1.42578125,0.08713580667972565,0.08702950179576874,-0.00010630488395690918,0.2236067977498773,future8_positive,high_warning_positive,108.0,1.0,1.0,0.0,0.3455880466883458,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle108_rank21_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle108_rank21_obj3.png
cycle108_rank21_obj1,108.0,12_c2_x10_070723,3,21,1,24.57545572680972,balanced_future_roi_candidate,1665.4736842105262,226.21052631578948,1569,130,1761,322,192,96,96,2712,3615,8230.44140625,8232.19921875,1.7578125,0.07662221789360046,0.0766456201672554,2.3402273654937744e-05,0.2236067977498773,future8_positive,high_warning_positive,108.0,1.0,1.0,0.0,0.3455880466883458,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle108_rank21_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle108_rank21_obj1.png
cycle108_rank21_obj2,108.0,12_c2_x10_070723,3,21,2,24.25594937175352,balanced_future_roi_candidate,1344.246153846154,202.0,1248,106,1440,298,192,96,96,2712,3615,8838.98046875,8837.275390625,-1.705078125,0.07408048212528229,0.07403203845024109,-4.844367504119873e-05,0.2236067977498773,future8_positive,high_warning_positive,108.0,1.0,1.0,0.0,0.3455880466883458,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle108_rank21_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle108_rank21_obj2.png
cycle110_rank24_obj1,110.0,12_c2_x10_070723,5,24,1,26.314764358916044,balanced_future_roi_candidate,840.8,96.4,745,0,937,192,192,96,96,4521,5424,8952.603515625,8950.89453125,-1.708984375,0.09150522202253342,0.09135656803846359,-0.00014865398406982422,0.2121320343559321,future8_positive,high_warning_positive,110.0,1.0,1.0,0.0,0.1861489207307045,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle110_rank24_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle110_rank24_obj1.png
cycle110_rank24_obj3,110.0,12_c2_x10_070723,5,24,3,24.508921888371106,balanced_future_roi_candidate,1199.9344262295083,1126.295081967213,1104,1008,1296,1200,192,96,96,4521,5424,8344.92578125,8310.740234375,-34.185546875,0.07547306269407272,0.07355019450187683,-0.0019228681921958923,0.2121320343559321,future8_positive,high_warning_positive,110.0,1.0,1.0,0.0,0.1861489207307045,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle110_rank24_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle110_rank24_obj3.png
cycle110_rank24_obj2,110.0,12_c2_x10_070723,5,24,2,24.24315454606201,balanced_future_roi_candidate,1346.9830508474577,203.66101694915253,1251,108,1443,300,192,96,96,4521,5424,8824.23828125,8829.544921875,5.306640625,0.07567470520734787,0.07579339295625687,0.00011868774890899658,0.2121320343559321,future8_positive,high_warning_positive,110.0,1.0,1.0,0.0,0.1861489207307045,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle110_rank24_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle110_rank24_obj2.png
cycle129_rank7_obj1,129.0,14_c2_x10_HighCOV_110723,8,7,1,26.13056365775394,balanced_future_roi_candidate,843.4893617021277,77.44680851063829,747,0,939,192,192,96,96,9521,10710,8879.900390625,8891.9521484375,12.0517578125,0.07919960469007492,0.07999345660209656,0.000793851912021637,0.2500000000000227,future8_negative,low_risk_negative,129.0,0.0,0.0,0.0,0.2863584478094875,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle129_rank7_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle129_rank7_obj1.png
cycle129_rank7_obj2,129.0,14_c2_x10_HighCOV_110723,8,7,2,24.688025072654327,balanced_future_roi_candidate,1202.7540983606557,1107.2131147540983,1107,1008,1299,1200,192,96,96,9521,10710,8378.1025390625,8386.8818359375,8.779296875,0.06647910922765732,0.06699415296316147,0.0005150437355041504,0.2500000000000227,future8_negative,low_risk_negative,129.0,0.0,0.0,0.0,0.2863584478094875,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle129_rank7_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle129_rank7_obj2.png
cycle129_rank7_obj3,129.0,14_c2_x10_HighCOV_110723,8,7,3,24.56397203893444,balanced_future_roi_candidate,1346.2893081761006,184.3522012578616,1250,88,1442,280,192,96,96,9521,10710,8815.388671875,8823.484375,8.095703125,0.06833639740943909,0.06870990246534348,0.00037350505590438843,0.2500000000000227,future8_negative,low_risk_negative,129.0,0.0,0.0,0.0,0.2863584478094875,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle129_rank7_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle129_rank7_obj3.png
cycle131_rank5_obj1,131.0,15_c2_x5_HighCOV_120723,0,5,1,24.73669107136929,balanced_future_roi_candidate,842.5714285714286,78.57142857142857,747,0,939,192,192,96,96,0,1237,8888.6875,8915.865234375,27.177734375,0.08156349509954453,0.0825996994972229,0.0010362043976783752,0.2121320343559321,future8_negative,hard_negative_high_warning,131.0,0.0,0.0,0.0,0.6026405442281145,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle131_rank5_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle131_rank5_obj1.png
cycle131_rank5_obj3,131.0,15_c2_x5_HighCOV_120723,0,5,3,24.27790867526057,balanced_future_roi_candidate,1350.923976608187,184.58479532163744,1255,89,1447,281,192,96,96,0,1237,8810.48828125,8836.1220703125,25.6337890625,0.07075566053390503,0.07187910377979279,0.0011234432458877563,0.2121320343559321,future8_negative,hard_negative_high_warning,131.0,0.0,0.0,0.0,0.6026405442281145,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle131_rank5_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle131_rank5_obj3.png
cycle131_rank5_obj2,131.0,15_c2_x5_HighCOV_120723,0,5,2,23.84833496208426,balanced_future_roi_candidate,1200.05,1106.2,1104,1008,1296,1200,192,96,96,0,1237,8383.7802734375,8448.75,64.9697265625,0.0673801451921463,0.07072185724973679,0.0033417120575904846,0.2121320343559321,future8_negative,hard_negative_high_warning,131.0,0.0,0.0,0.0,0.6026405442281145,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle131_rank5_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle131_rank5_obj2.png
cycle139_rank11_obj1,139.0,16_c2_x10_HighHighCOV_130723,3,11,1,25.116391273429677,balanced_future_roi_candidate,844.1379310344828,79.3103448275862,748,0,940,192,192,96,96,3673,4897,9002.2744140625,8986.04296875,-16.2314453125,0.08760589361190796,0.08617915213108063,-0.0014267414808273315,0.2121320343559321,future8_negative,low_risk_negative,139.0,0.0,0.0,0.0,0.2177667218010263,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle139_rank11_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle139_rank11_obj1.png
cycle139_rank11_obj3,139.0,16_c2_x10_HighHighCOV_130723,3,11,3,24.49537938711706,balanced_future_roi_candidate,1203.304347826087,664.0,1107,568,1299,760,192,96,96,3673,4897,8134.673828125,8134.77685546875,0.10302734375,0.06801629811525345,0.06741610914468765,-0.0006001889705657959,0.2121320343559321,future8_negative,low_risk_negative,139.0,0.0,0.0,0.0,0.2177667218010263,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle139_rank11_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle139_rank11_obj3.png
cycle139_rank11_obj2,139.0,16_c2_x10_HighHighCOV_130723,3,11,2,23.937760651918044,balanced_future_roi_candidate,1200.516129032258,1104.645161290323,1105,1008,1297,1200,192,96,96,3673,4897,8477.4482421875,8498.576171875,21.1279296875,0.07006272673606873,0.07122336328029633,0.0011606365442276,0.2121320343559321,future8_negative,low_risk_negative,139.0,0.0,0.0,0.0,0.2177667218010263,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle139_rank11_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle139_rank11_obj2.png
cycle140_rank9_obj3,140.0,16_c2_x10_HighHighCOV_130723,4,9,3,24.698173268896447,balanced_future_roi_candidate,1347.747572815534,182.4660194174757,1252,86,1444,278,192,96,96,4898,6121,8929.171875,8866.0302734375,-63.1416015625,0.07401875406503677,0.07090456038713455,-0.0031141936779022217,0.24999999999993178,future8_negative,low_risk_negative,140.0,0.0,1.0,0.0,0.2389476922815127,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle140_rank9_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle140_rank9_obj3.png
cycle140_rank9_obj1,140.0,16_c2_x10_HighHighCOV_130723,4,9,1,24.114277585854143,balanced_future_roi_candidate,842.3188405797101,78.55072463768116,746,0,938,192,192,96,96,4898,6121,8980.85546875,8953.83984375,-27.015625,0.08473177254199982,0.08207157999277115,-0.002660192549228668,0.24999999999993178,future8_negative,low_risk_negative,140.0,0.0,1.0,0.0,0.2389476922815127,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle140_rank9_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle140_rank9_obj1.png
cycle140_rank9_obj2,140.0,16_c2_x10_HighHighCOV_130723,4,9,2,23.56051462566941,balanced_future_roi_candidate,1199.6153846153843,1106.0,1104,1008,1296,1200,192,96,96,4898,6121,8496.3212890625,8580.7392578125,84.41796875,0.06981436908245087,0.07332244515419006,0.0035080760717391968,0.24999999999993178,future8_negative,low_risk_negative,140.0,0.0,1.0,0.0,0.2389476922815127,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle140_rank9_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle140_rank9_obj2.png
cycle143_rank10_obj3,143.0,16_c2_x10_HighHighCOV_130723,7,10,3,24.550014363282017,balanced_future_roi_candidate,1349.1666666666667,184.02083333333331,1253,88,1445,280,192,96,96,8571,9795,8793.63671875,8828.7099609375,35.0732421875,0.0662706196308136,0.06784223765134811,0.0015716180205345154,0.24999999999993178,future8_negative,low_risk_negative,143.0,0.0,1.0,0.0,0.2351301084038065,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle143_rank10_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle143_rank10_obj3.png
cycle143_rank10_obj2,143.0,16_c2_x10_HighHighCOV_130723,7,10,2,24.19643345057739,balanced_future_roi_candidate,846.4126984126984,80.82539682539682,750,0,942,192,192,96,96,8571,9795,8915.1591796875,8916.51171875,1.3525390625,0.07770233601331711,0.07846790552139282,0.0007655695080757141,0.24999999999993178,future8_negative,low_risk_negative,143.0,0.0,1.0,0.0,0.2351301084038065,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle143_rank10_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle143_rank10_obj2.png
cycle143_rank10_obj1,143.0,16_c2_x10_HighHighCOV_130723,7,10,1,23.938501501741023,balanced_future_roi_candidate,1200.0898876404494,1101.6179775280898,1104,1006,1296,1198,192,96,96,8571,9795,8583.775390625,8469.8828125,-113.892578125,0.07403039187192917,0.06833735853433609,-0.005693033337593079,0.24999999999993178,future8_negative,low_risk_negative,143.0,0.0,1.0,0.0,0.2351301084038065,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle143_rank10_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle143_rank10_obj1.png
cycle146_rank1_obj3,146.0,17_c2_x10_HighHighCOV_150723,0,1,3,23.925995386659014,balanced_future_roi_candidate,848.2352941176471,84.3529411764706,752,0,944,192,192,96,96,0,1236,8899.5888671875,8900.8330078125,1.244140625,0.08293253928422928,0.08304312080144882,0.00011058151721954346,0.25,future8_negative,hard_negative_high_warning,146.0,0.0,1.0,0.0,3.21719464829548,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle146_rank1_obj3.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle146_rank1_obj3.png
cycle146_rank1_obj2,146.0,17_c2_x10_HighHighCOV_150723,0,1,2,23.67346169899455,balanced_future_roi_candidate,829.170731707317,395.0243902439024,733,299,925,491,192,96,96,0,1236,8024.79443359375,8007.23095703125,-17.5634765625,0.0583052784204483,0.05716733634471893,-0.0011379420757293701,0.25,future8_negative,hard_negative_high_warning,146.0,0.0,1.0,0.0,3.21719464829548,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle146_rank1_obj2.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle146_rank1_obj2.png
cycle146_rank1_obj1,146.0,17_c2_x10_HighHighCOV_150723,0,1,1,23.663902942445056,balanced_future_roi_candidate,1202.8387096774193,1101.247311827957,1107,1005,1299,1197,192,96,96,0,1236,8413.1845703125,8391.61328125,-21.5712890625,0.07234468311071396,0.07127035409212112,-0.0010743290185928345,0.25,future8_negative,hard_negative_high_warning,146.0,0.0,1.0,0.0,3.21719464829548,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/cycle146_rank1_obj1.npz,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/balanced_future_roi_sequences/previews/cycle146_rank1_obj1.png
