feature,target,n,rho,p_value
shape_V_min,q70_transformed_fraction_delta,38,0.5425348792101573,0.00043336271378800544
shape_V_std,q70_logistic_k_per_s,38,-0.5403276583834276,0.0004621738128625825
echem_shape_duration_s,q70_logistic_k_per_s,38,-0.5390033258873898,0.00048027011074857706
shape_charge_mAh_abs,q70_logistic_k_per_s,38,-0.5390033258873898,0.00048027011074857706
all_dq_abs_lowV_frac,mode_review_priority,38,-0.5345370160544044,0.0005460545379793006
shape_V_mean,q70_transformed_fraction_delta,38,-0.5332645517378927,0.0005662114348579947
shape_V_q25,q70_transformed_fraction_delta,38,-0.5332645517378927,0.0005662114348579947
shape_V_range,q70_logistic_k_per_s,38,-0.5314987750765089,0.0005952808899908546
shape_dIdt_slope,q70_logistic_k_per_s,38,-0.5292915542497793,0.0006334827125589206
all_dq_abs_total_mAh,q70_logistic_k_per_s,38,-0.5279672217537413,0.000657437367084306
neg_dq_abs_entropy,q70_logistic_k_per_s,38,-0.5279672217537413,0.000657437367084306
neg_dq_abs_total_mAh,q70_logistic_k_per_s,38,-0.5279672217537413,0.000657437367084306
shape_charge_mAh_neg_abs,q70_logistic_k_per_s,38,-0.5279672217537413,0.000657437367084306
shape_charge_mAh_signed,q70_logistic_k_per_s,38,-0.5279672217537413,0.000657437367084306
neg_dq_abs_lowV_frac,q70_logistic_k_per_s,38,0.5253185567616657,0.0007077779656882394
pos_dqdv_abs_integral_proxy,q70_logistic_k_per_s,38,0.5235527801002821,0.0007432146764111182
neg_dqdv_abs_integral_proxy,mode_review_priority,38,-0.5230582116625692,0.0007534185735549925
pos_dqdv_abs_integral_proxy,q70_transformed_fraction_delta,38,0.5213455592735523,0.0007897226974268875
shape_V_q90,mode_review_priority,38,-0.5162150782751289,0.000907951843286422
shape_V_q75,q70_logistic_k_per_s,38,-0.5125166759666335,0.001002660649391431
shape_V_q10,q70_transformed_fraction_delta,38,-0.5120752318012877,0.0010145302680172545
shape_dVdt_slope,q70_transformed_fraction_delta,38,-0.5103094551399039,0.0010632629142976575
shape_V_mean,mode_review_priority,38,-0.5027495577385529,0.001296139949397487
shape_V_q25,mode_review_priority,38,-0.5027495577385529,0.001296139949397487
shape_dIdt_slope,q70_transformed_fraction_delta,38,-0.5014805718329851,0.0013393607410207293
all_dq_abs_highV_frac,q70_logistic_k_per_s,38,-0.4997147951716014,0.0014016177684522612
shape_V_q90,q70_logistic_k_per_s,38,-0.4997147951716014,0.0014016177684522612
neg_dq_abs_highV_frac,q70_transformed_fraction_delta,38,-0.47852547523499633,0.0023736902859990807
neg_dq_abs_highV_frac,q70_logistic_k_per_s,38,-0.4772011427389586,0.002450461568812667
shape_dVdt_slope,q70_logistic_k_per_s,38,-0.4772011427389586,0.002450461568812667
all_dq_abs_peak_frac,q70_logistic_k_per_s,38,0.47057948025876956,0.0028678450238284123
shape_V_q05,q70_transformed_fraction_delta,38,-0.4696965919280776,0.0029279404081521705
all_dq_abs_entropy,q70_transformed_fraction_delta,38,-0.4630749294478886,0.003414796819465568
pos_dq_abs_peak_frac,q70_transformed_fraction_delta,38,0.4630749294478886,0.003414796819465568
shape_V_q10,q70_logistic_k_per_s,38,-0.46219204111719664,0.003484763320946451
all_dq_abs_entropy,q70_logistic_k_per_s,38,-0.4604262644558129,0.003628450857745353
pos_dq_abs_peak_frac,q70_logistic_k_per_s,38,0.4604262644558129,0.003628450857745353
shape_V_q95,q70_transformed_fraction_delta,38,-0.44806582782612664,0.004786606770325793
shape_V_q50,q70_logistic_k_per_s,38,-0.4410027211805917,0.005582549208465245
pos_dq_abs_entropy,q70_logistic_k_per_s,38,-0.4392369445192079,0.005798532722850865
neg_dq_abs_peak_frac,q70_logistic_k_per_s,38,0.43526394703109444,0.006311019029009324
shape_V_q05,mode_review_priority,38,-0.4299032990980601,0.007064032820640404
neg_dq_abs_peak_frac,q70_transformed_fraction_delta,38,0.4259936195588298,0.007660791532350314
shape_V_mean,q70_logistic_k_per_s,38,-0.4198134012439867,0.00869226106592629
shape_V_q25,q70_logistic_k_per_s,38,-0.4198134012439867,0.00869226106592629
shape_dVdt_abs_p95,mode_review_priority,38,-0.4175415097530067,0.009100204411154816
pos_dq_abs_entropy,q70_transformed_fraction_delta,38,-0.41628184792121914,0.00933336094903843
neg_dq_abs_midV_frac,q70_logistic_k_per_s,38,0.41407462709448956,0.009754214891804251
all_dq_abs_midV_frac,q70_logistic_k_per_s,38,0.4131917387637976,0.009927032807310963
shape_V_std,q70_transformed_fraction_delta,38,-0.4074529646143004,0.011115234848334363
pos_dq_abs_midV_frac,q70_logistic_k_per_s,38,0.40480429962222475,0.011703166387515548
shape_V_q05,q70_logistic_k_per_s,38,-0.403479967126187,0.012006900306328384
shape_V_q95,q70_logistic_k_per_s,38,-0.4017141904648032,0.01242226353151238
shape_charge_mAh_signed,mode_review_priority,38,-0.39877807949712224,0.01313988746001874
neg_dq_abs_lowV_frac,q70_transformed_fraction_delta,38,0.3981826371420358,0.013289621977491946
neg_dqdv_abs_integral_proxy,q70_logistic_k_per_s,38,-0.39332675132323036,0.014565501723980474
pos_dq_abs_highV_frac,q70_logistic_k_per_s,38,-0.3880294213390792,0.016073767204392842
shape_dVdt_sign_consistency,q70_logistic_k_per_s,38,0.3827320913549279,0.017711359767936304
shape_V_range,mode_review_priority,38,-0.37074330723244775,0.021939682845695356
all_dq_abs_peak_frac,q70_transformed_fraction_delta,38,0.3571283297648636,0.02772884858311266
neg_dq_abs_midV_frac,phase_slope_positive_fraction_protocol_residual,38,0.34542967473734,0.03366081777889498
all_dq_abs_lowV_frac,phase_slope_positive_fraction_protocol_residual,38,-0.34276226412160765,0.035149430920322355
shape_V_q10,mode_review_priority,38,-0.33498241662711487,0.03980096113474471
all_dq_abs_highV_frac,q70_transformed_fraction_delta,38,-0.3275515706866857,0.044699099677328345
pos_dq_abs_entropy,phase_slope_positive_fraction_protocol_residual,38,-0.30764135768113166,0.06025359841105238
pos_dq_abs_midV_frac,q70_transformed_fraction_delta,38,0.29091170496297286,0.07640421111727624
pos_dq_abs_lowV_frac,mode_review_priority,38,0.2855352592469015,0.08225616117438923
shape_V_min,q70_logistic_k_per_s,38,0.2816413774907082,0.086707388973996
shape_dVdt_slope,mode_review_priority,38,-0.2815618269574201,0.08680022822178672
neg_dq_abs_peak_frac,phase_slope_positive_fraction_protocol_residual,38,0.27207588280470024,0.09843221931943814
pos_dq_abs_lowV_frac,q70_transformed_fraction_delta,38,-0.27060527335705975,0.10033744193207175
all_dq_abs_total_mAh,mode_review_priority,38,-0.2612531730334039,0.11311868633391357
neg_dq_abs_entropy,mode_review_priority,38,-0.2612531730334039,0.11311868633391357
neg_dq_abs_total_mAh,mode_review_priority,38,-0.2612531730334039,0.11311868633391357
shape_charge_mAh_neg_abs,mode_review_priority,38,-0.2612531730334039,0.11311868633391357
all_dq_abs_midV_frac,q70_transformed_fraction_delta,38,0.25736194839668164,0.11878447537146891
pos_dq_abs_highV_frac,q70_transformed_fraction_delta,38,-0.2520646184125304,0.12683657649450508
shape_charge_mAh_pos,phase_slope_positive_fraction_protocol_residual,38,0.24940289257097525,0.13103283344622618
echem_shape_duration_s,mode_review_priority,38,-0.24844989121174152,0.13256004362086668
shape_charge_mAh_abs,mode_review_priority,38,-0.24844989121174152,0.13256004362086668
pos_dq_abs_lowV_frac,q70_logistic_k_per_s,38,-0.2463258442630332,0.13601131818130235
neg_dqdv_abs_integral_proxy,q70_transformed_fraction_delta,38,-0.24146995844422786,0.14415026219727098
shape_V_max,mode_review_priority,38,-0.23590291533601165,0.1539146125760343
shape_dIdt_slope,mode_review_priority,38,-0.23586735562838368,0.1539784916802308
all_dq_abs_midV_frac,phase_slope_positive_fraction_protocol_residual,38,0.23562127105635805,0.1544210844130655
pos_dq_abs_total_mAh,mode_review_priority,38,-0.23476362443686105,0.15597082885235536
neg_dq_abs_highV_frac,mode_review_priority,38,-0.23454287819855654,0.15637153341392296
neg_dq_abs_lowV_frac,mode_review_priority,38,0.2230640738067213,0.1782514410049355
pos_dq_abs_total_mAh,phase_slope_positive_fraction_protocol_residual,38,0.22272878641365165,0.17892172510840793
shape_charge_mAh_pos,mode_review_priority,38,-0.22196034261519867,0.18046471367345143
shape_charge_mAh_signed,q70_transformed_fraction_delta,38,-0.21674908518485536,0.19117876654476673
pos_dq_abs_midV_frac,phase_slope_positive_fraction_protocol_residual,38,0.21161457551476684,0.20216585007490004
shape_I_mean_mA,q70_transformed_fraction_delta,38,-0.2017399835630935,0.2245179950416403
shape_I_neg_fraction,q70_transformed_fraction_delta,38,0.2017399835630935,0.2245179950416403
shape_I_pos_fraction,q70_transformed_fraction_delta,38,-0.2017399835630935,0.2245179950416403
neg_dq_abs_lowV_frac,phase_slope_positive_fraction_protocol_residual,38,-0.19827752243610508,0.2327413165123009
all_dq_abs_highV_frac,mode_review_priority,38,-0.19436706282713317,0.2422718746407837
shape_V_q95,phase_slope_positive_fraction_protocol_residual,38,-0.1858296062293541,0.26398243011457173
shape_dVdt_abs_p95,q70_transformed_fraction_delta,38,0.18231644028787222,0.27327812014208996
all_dqdv_abs_integral_proxy,threshold_robust_phase_score_protocol_residual,38,0.17944705321312365,0.2810274931219461
shape_charge_mAh_signed,phase_slope_positive_fraction_protocol_residual,38,0.16404575286753986,0.3250401232914745
all_dqdv_abs_integral_proxy,q70_logistic_k_per_s,38,-0.16156856451661317,0.332499434808152
all_dqdv_abs_integral_proxy,phase_slope_positive_fraction_protocol_residual,38,0.16137834225180747,0.3330765744218132
all_dq_abs_entropy,phase_slope_positive_fraction_protocol_residual,38,-0.16048920537989672,0.3357824447300609
pos_dq_abs_peak_frac,phase_slope_positive_fraction_protocol_residual,38,0.16048920537989672,0.3357824447300609
all_dq_abs_lowV_frac,threshold_robust_phase_score_protocol_residual,38,-0.15340184745771335,0.3578329920633456
shape_V_q10,threshold_robust_phase_score_protocol_residual,38,0.14854596163890801,0.37343251219145335
echem_shape_duration_s,phase_slope_positive_fraction_protocol_residual,38,0.14404017324954718,0.38826174843832595
shape_charge_mAh_abs,phase_slope_positive_fraction_protocol_residual,38,0.14404017324954718,0.38826174843832595
neg_dq_abs_lowV_frac,threshold_robust_phase_score_protocol_residual,38,-0.14059996666268113,0.39981168780171766
pos_dq_abs_entropy,threshold_robust_phase_score_protocol_residual,38,-0.13971707833198924,0.40280742048765744
neg_dq_abs_midV_frac,threshold_robust_phase_score_protocol_residual,38,0.13309541585180018,0.4256826137288292
pos_dq_abs_highV_frac,phase_slope_positive_fraction_protocol_residual,38,-0.1315922570427962,0.4309746355714051
shape_dVdt_slope,threshold_robust_phase_score_protocol_residual,38,0.13088819502507051,0.43346586534405085
neg_dq_abs_peak_frac,threshold_robust_phase_score_protocol_residual,38,0.1260323092062652,0.45086334376347265
shape_V_q05,threshold_robust_phase_score_protocol_residual,38,0.1238250883795355,0.45889460010005995
shape_charge_mAh_signed,threshold_robust_phase_score_protocol_residual,38,0.12338364421418957,0.4605100112742962
all_dq_abs_total_mAh,phase_slope_positive_fraction_protocol_residual,38,0.11736606709222362,0.4828314544192968
neg_dq_abs_entropy,phase_slope_positive_fraction_protocol_residual,38,0.11736606709222362,0.4828314544192968
neg_dq_abs_total_mAh,phase_slope_positive_fraction_protocol_residual,38,0.11736606709222362,0.4828314544192968
shape_charge_mAh_neg_abs,phase_slope_positive_fraction_protocol_residual,38,0.11736606709222362,0.4828314544192968
shape_V_q10,phase_slope_positive_fraction_protocol_residual,38,0.11647693022031284,0.48617661885550945
shape_dVdt_abs_p95,q70_logistic_k_per_s,38,0.11477548298994376,0.4926112099587396
all_dq_abs_highV_frac,threshold_robust_phase_score_protocol_residual,38,0.11411331674192488,0.49512717573211024
pos_dq_abs_total_mAh,threshold_robust_phase_score_protocol_residual,38,0.10925743092311956,0.5137765153608568
neg_dq_abs_highV_frac,phase_slope_positive_fraction_protocol_residual,38,-0.10803012993716038,0.5185448066598998
shape_dVdt_slope,phase_slope_positive_fraction_protocol_residual,38,0.107585561501205,0.5202774235065174
shape_charge_mAh_pos,threshold_robust_phase_score_protocol_residual,38,0.10528443343500614,0.529291046866554
shape_I_mean_mA,q70_logistic_k_per_s,38,0.10373937885629533,0.5353854661806468
shape_I_neg_fraction,q70_logistic_k_per_s,38,-0.10373937885629533,0.5353854661806468
shape_I_pos_fraction,q70_logistic_k_per_s,38,0.10373937885629533,0.5353854661806468
all_dq_abs_lowV_frac,q70_logistic_k_per_s,38,0.10153215802956565,0.5441500981611327
shape_V_min,phase_slope_positive_fraction_protocol_residual,38,-0.10047246652591872,0.5483821448266324
shape_V_min,mode_review_priority,38,0.09547274806670654,0.5685565872291753
shape_V_q90,phase_slope_positive_fraction_protocol_residual,38,0.09469307685849862,0.5717329891425401
pos_dq_abs_lowV_frac,threshold_robust_phase_score_protocol_residual,38,-0.09292399680531986,0.5789700718854097
all_dq_abs_highV_frac,phase_slope_positive_fraction_protocol_residual,38,0.08446800283152459,0.6141176743449593
all_dq_abs_total_mAh,threshold_robust_phase_score_protocol_residual,38,0.08277078100236329,0.6212792434875273
neg_dq_abs_entropy,threshold_robust_phase_score_protocol_residual,38,0.08277078100236329,0.6212792434875273
neg_dq_abs_total_mAh,threshold_robust_phase_score_protocol_residual,38,0.08277078100236329,0.6212792434875273
shape_charge_mAh_neg_abs,threshold_robust_phase_score_protocol_residual,38,0.08277078100236329,0.6212792434875273
shape_dVdt_sign_consistency,phase_slope_positive_fraction_protocol_residual,38,0.08224516065174763,0.6235041698995194
neg_dqdv_abs_integral_proxy,threshold_robust_phase_score_protocol_residual,38,0.08188789267167143,0.6250183505136249
shape_V_q90,threshold_robust_phase_score_protocol_residual,38,0.08188789267167143,0.6250183505136249
all_dq_abs_peak_frac,phase_slope_positive_fraction_protocol_residual,38,0.08046688690792606,0.6310558527674347
all_dqdv_abs_integral_proxy,q70_transformed_fraction_delta,38,0.07901850559692282,0.6372340242794149
echem_shape_duration_s,threshold_robust_phase_score_protocol_residual,38,0.07879778351424986,0.6381776669257955
shape_charge_mAh_abs,threshold_robust_phase_score_protocol_residual,38,0.07879778351424986,0.6381776669257955
shape_V_mean,phase_slope_positive_fraction_protocol_residual,38,-0.07779947629219369,0.6424526790716862
shape_V_q25,phase_slope_positive_fraction_protocol_residual,38,-0.07779947629219369,0.6424526790716862
shape_V_max,phase_slope_positive_fraction_protocol_residual,38,0.07362486730759711,0.6604512969939166
neg_dqdv_abs_integral_proxy,phase_slope_positive_fraction_protocol_residual,38,-0.07246465506072898,0.6654876336455618
shape_V_std,phase_slope_positive_fraction_protocol_residual,38,0.0711309497528628,0.6712949763400414
all_dq_abs_entropy,threshold_robust_phase_score_protocol_residual,38,-0.07085178853802299,0.6725129223597827
pos_dq_abs_peak_frac,threshold_robust_phase_score_protocol_residual,38,0.07085178853802299,0.6725129223597827
shape_V_q75,phase_slope_positive_fraction_protocol_residual,38,0.06801897070117506,0.6849182619256772
pos_dqdv_abs_integral_proxy,phase_slope_positive_fraction_protocol_residual,38,-0.06135044416184417,0.7144389001032281
shape_V_mean,threshold_robust_phase_score_protocol_residual,38,0.06069857273506642,0.7173475530950326
shape_V_q25,threshold_robust_phase_score_protocol_residual,38,0.06069857273506642,0.7173475530950326
shape_V_q75,threshold_robust_phase_score_protocol_residual,38,0.05937424023902861,0.7232687933524281
shape_V_q50,threshold_robust_phase_score_protocol_residual,38,0.05716701941229892,0.7331727211551975
shape_dVdt_sign_consistency,threshold_robust_phase_score_protocol_residual,38,-0.05716701941229892,0.7331727211551975
pos_dq_abs_lowV_frac,phase_slope_positive_fraction_protocol_residual,38,-0.05468191762251328,0.7443745682912221
all_dqdv_abs_integral_proxy,mode_review_priority,38,-0.04933678426106108,0.7686418050202889
shape_V_max,threshold_robust_phase_score_protocol_residual,38,0.04599770130811778,0.7839140223806091
pos_dq_abs_highV_frac,threshold_robust_phase_score_protocol_residual,38,0.03862636446776954,0.817904772809902
all_dq_abs_midV_frac,threshold_robust_phase_score_protocol_residual,38,0.03597769947569391,0.8302023198277942
pos_dq_abs_midV_frac,threshold_robust_phase_score_protocol_residual,38,0.03553625531034798,0.832255872112212
shape_V_range,threshold_robust_phase_score_protocol_residual,38,-0.03023892532619673,0.856980307009198
shape_V_q50,phase_slope_positive_fraction_protocol_residual,38,-0.03023065364496669,0.8570190254044052
shape_dVdt_abs_p95,phase_slope_positive_fraction_protocol_residual,38,0.03023065364496669,0.8570190254044052
shape_dVdt_abs_p95,threshold_robust_phase_score_protocol_residual,38,0.027148816168775167,0.8714667795282285
shape_V_range,phase_slope_positive_fraction_protocol_residual,38,-0.024895832413501982,0.8820551612206212
shape_V_q95,threshold_robust_phase_score_protocol_residual,38,-0.02317581868066173,0.8901524446785917
shape_I_mean_mA,mode_review_priority,38,-0.020198280804863928,0.9041952680296953
shape_I_neg_fraction,mode_review_priority,38,0.020198280804863928,0.9041952680296953
shape_I_pos_fraction,mode_review_priority,38,-0.020198280804863928,0.9041952680296953
shape_V_min,threshold_robust_phase_score_protocol_residual,38,0.019202821192548285,0.9088967288400592
shape_I_mean_mA,phase_slope_positive_fraction_protocol_residual,38,0.01733816900226031,0.9177114087048153
shape_I_neg_fraction,phase_slope_positive_fraction_protocol_residual,38,-0.01733816900226031,0.9177114087048153
shape_I_pos_fraction,phase_slope_positive_fraction_protocol_residual,38,0.01733816900226031,0.9177114087048153
all_dq_abs_lowV_frac,q70_transformed_fraction_delta,38,0.01280188079503219,0.9391940125811559
shape_dIdt_slope,phase_slope_positive_fraction_protocol_residual,38,-0.012447916206750991,0.9408722702792157
shape_V_std,threshold_robust_phase_score_protocol_residual,38,0.012139714547013285,0.9423337565639767
all_dq_abs_peak_frac,threshold_robust_phase_score_protocol_residual,38,0.008608161224245783,0.9590924167294024
shape_I_mean_mA,threshold_robust_phase_score_protocol_residual,38,0.008608161224245783,0.9590924167294024
shape_I_neg_fraction,threshold_robust_phase_score_protocol_residual,38,-0.008608161224245783,0.9590924167294024
shape_I_pos_fraction,threshold_robust_phase_score_protocol_residual,38,0.008608161224245783,0.9590924167294024
shape_V_q05,phase_slope_positive_fraction_protocol_residual,38,-0.008446800283152459,0.9598586081261495
shape_dIdt_slope,threshold_robust_phase_score_protocol_residual,38,0.007725272893553908,0.9632850669834161
pos_dqdv_abs_integral_proxy,threshold_robust_phase_score_protocol_residual,38,-0.004193719570786408,0.9800642824949976
neg_dq_abs_highV_frac,threshold_robust_phase_score_protocol_residual,38,0.001103610413364844,0.9947532719078801
